Programme ID	Inclusion ESAS DB	Sharing interest	financial constraints	legal constraints
FIN-SYKE	Unknown	Yes	No	No
FIN-MNH	No	Unknown	Unknown	Yes
EST-EMU	Partially	Yes	Unknown	Yes
EST-EOS	No	Yes	Unknown	Yes
LVA-GOR	No	Yes	Yes	Unknown
LVA-LIFE05	Unknown	Yes	No	No
LVA-MAR	No	Unknown	Unknown	Unknown
LVA-WWAS	Planned	Yes	Unknown	Yes
LTU	Unknown	Yes	No	No
RUS	No	Unknown	No	No
POL-MZPM	No	Yes	Unknown	Unknown
SWE	Planned	Yes	Yes	Yes
DNK	No	Unknown	Unknown	Unknown
DEU-BSH	No	Unknown	Unknown	Yes
DEU-GMBM	Partially	Yes	No	Yes
DEU-OSMS	Partially	Unknown	No	Unknown
DEU-SAS	Partially	Yes	No	Yes
NOR-NINA	No	Yes	No	No
NLD-BuWa-AIR	No	Yes	Yes	Yes
NLD-BuWa-SHIP	Unknown	Yes	Yes	Yes
NLD-MWTL	Planned	Yes	No	No
NLD-NIOZ	Partially	Yes	No	Yes
NLD-WUR	Yes	Yes	No	Yes
BEL-INBO	Partially	Yes	No	Yes
BEL-RBINS	No	Unknown	No	Yes
GBR-HIDEF	No	Yes	No	Yes
GBR-JNCC	Yes	Yes	No	No
GBR-OWF	No	Unknown	Unknown	Unknown
GBR-SFF	No	Unknown	Unknown	Unknown
IRL-MI	Partially	Yes	Unknown	Yes
IRL-NPWS	Unknown	Yes	Unknown	Unknown
FRA	Unknown	Yes	No	Yes
ESP-AV3	No	Unknown	Unknown	Unknown
ESP-BIO	No	Yes	Yes	Yes
ESP-JUV	No	Yes	Yes	Yes
ESP-PEL	No	Yes	Unknown	Unknown
ESP-UCA	Planned	Unknown	Unknown	Yes
PRT	Partially	Yes	No	No
GRC-HSP	No	Yes	No	Unknown
GRC-LIFE03	Unknown	Yes	No	Unknown
GRC-LIFE07	Unknown	Yes	No	Unknown
GRC-LIFE96	Unknown	Yes	No	Unknown
GRC-MSFD	No	Yes	Yes	Unknown
MLT	No	Yes	Yes	Unknown
