Programme ID	Temporal scope	Nr of occurrences	OSPAR region	Baltic Sea	Marine mammals	Plane	Ship
FIN-SYKE	1996-now	100K-1M		yes		yes	yes
FIN-MNH	1980-now	100K-1M		yes			yes
EST-EMU	2016-now	10K-100K		yes		yes	
EST-EOS	2006-now	10K-100K		yes			yes
LVA-GOR	2011-2012	1-10K		yes		yes	
LVA-LIFE05	2005-2008			yes			yes
LVA-MAR	2011-2014	10K-100K		yes		yes	yes
LVA-WWAS	2016-now	10K-100K		yes		yes	
LTU	2006-2008	10K-100K		yes			yes
RUS	2018-2018	1-10K		yes		yes	
POL-MZPM	2011-now	100K-1M		yes			yes
SWE	2004-now	10K-100K	II	yes		yes	
DNK	2004-now	100K-1M	II	yes		yes	
DEU-BSH	2000-now		II	yes	yes	yes	yes
DEU-GMBM	2008-now		II		yes	yes	yes
DEU-OSMS	2004-now		II			yes	yes
DEU-SAS	1990-now		II		yes	yes	yes
NOR-NINA	2004-now	>1M	I		yes		yes
NLD-BuWa-AIR	2004-now	100K-1M	II		yes	yes	
NLD-BuWa-SHIP	2004-now	10K-100K	II		yes		yes
NLD-MWTL	1991-now	100K-1M	II		yes	yes	
NLD-NIOZ	1985-now	>1M	I,II,IV,V				yes
NLD-WUR	1980-now		I, II, III, IV		yes		yes
BEL-INBO	1992-now	100K-1M	II		yes		yes
BEL-RBINS	2008-now	1-10K	II		yes	yes	
GBR-HIDEF	2011-now	>1M	II,III		yes	yes	
GBR-JNCC	1980-now		II,III		yes	yes	yes
GBR-OWF	2004-2016	10K-100K	II		yes		yes
GBR-SFF	2009-now	100K-1M	II		yes		yes
IRL-MI	2018-now	1-10K	III		yes		yes
IRL-NPWS	2016-now		II,III			yes	yes
FRA	2004-now	10K-100K	II,III,IV		yes	yes	yes
ESP-AV3	2007-now	10K-100K	IV		yes		yes
ESP-BIO	2016-now	1-10K	IV		yes		yes
ESP-JUV	2013-now	1-10K	IV		yes		yes
ESP-PEL	2007-now	10K-100K	IV		yes		yes
ESP-UCA	2006-now	1-10K	IV		yes		yes
PRT	2005-now	100K-1M	IV,V		yes		yes
GRC-HSP	2013-now	1-10K					yes
GRC-LIFE03	2004-2006	1-10K					yes
GRC-LIFE07	2009-2012	1-10K					yes
GRC-LIFE96	1992-2001	1-10K			yes		yes
GRC-MSFD	2020-now	1-10K					yes
MLT	2020-now	1-10K					yes
